power,heartRate,cadence,time
165.0,131.0,77.0,1282.0
163.0,132.0,77.0,1283.0
164.0,132.0,76.0,1284.0
166.0,133.0,75.0,1285.0
168.0,134.0,78.0,1286.0
165.0,135.0,79.0,1287.0
165.0,135.0,80.0,1288.0
164.0,139.0,81.0,1289.0
165.0,139.0,82.0,1290.0
164.0,139.0,82.0,1291.0
163.0,138.0,81.0,1292.0
165.0,137.0,80.0,1293.0
164.0,138.0,78.0,1294.0
162.0,137.0,78.0,1295.0
163.0,137.0,76.0,1296.0
168.0,136.0,74.0,1297.0
165.0,137.0,75.0,1298.0
164.0,139.0,78.0,1299.0
164.0,139.0,79.0,1300.0
163.0,139.0,77.0,1301.0
163.0,140.0,77.0,1302.0
166.0,140.0,76.0,1303.0
164.0,140.0,77.0,1304.0
164.0,139.0,78.0,1305.0
167.0,140.0,80.0,1306.0
166.0,138.0,82.0,1307.0
162.0,138.0,84.0,1308.0
39.0,137.0,84.0,1309.0
0.0,137.0,84.0,1310.0
0.0,136.0,0.0,1311.0
83.0,134.0,28.0,1312.0
176.0,133.0,59.0,1313.0
173.0,132.0,60.0,1314.0
166.0,132.0,65.0,1315.0
166.0,131.0,68.0,1316.0
164.0,130.0,68.0,1317.0
165.0,130.0,68.0,1318.0
164.0,131.0,68.0,1319.0
167.0,133.0,69.0,1320.0
165.0,134.0,70.0,1321.0
164.0,133.0,70.0,1322.0
162.0,134.0,69.0,1323.0
164.0,135.0,70.0,1324.0
163.0,134.0,70.0,1325.0
163.0,135.0,68.0,1326.0
162.0,136.0,66.0,1327.0
164.0,138.0,65.0,1328.0
166.0,139.0,64.0,1329.0
174.0,139.0,66.0,1330.0
170.0,137.0,66.0,1331.0
167.0,135.0,73.0,1332.0
164.0,133.0,77.0,1333.0
162.0,132.0,79.0,1334.0
164.0,130.0,78.0,1335.0
164.0,128.0,76.0,1336.0
166.0,127.0,76.0,1337.0
164.0,127.0,79.0,1338.0
164.0,126.0,79.0,1339.0
165.0,126.0,78.0,1340.0
163.0,126.0,77.0,1341.0
165.0,126.0,76.0,1342.0
165.0,126.0,76.0,1343.0
164.0,123.0,75.0,1344.0
164.0,125.0,75.0,1345.0
168.0,123.0,74.0,1346.0
165.0,121.0,76.0,1347.0
162.0,119.0,77.0,1348.0
165.0,119.0,75.0,1349.0
164.0,119.0,75.0,1350.0
163.0,119.0,74.0,1351.0
165.0,118.0,73.0,1352.0
164.0,118.0,73.0,1353.0
165.0,116.0,74.0,1354.0
165.0,115.0,73.0,1355.0
164.0,113.0,72.0,1356.0
164.0,112.0,72.0,1357.0
168.0,112.0,71.0,1358.0
166.0,113.0,73.0,1359.0
163.0,113.0,75.0,1360.0
164.0,114.0,76.0,1361.0
164.0,115.0,75.0,1362.0
166.0,116.0,73.0,1363.0
